,id,y,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.719610176759,0.949543818715,1,1,0.827116871381
1,4001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96426246244,0.85523084723,1,1,0.819288335435
2,4002,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,-0.0948519088332,0.380047618931,0,0,0.220389771831
3,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200676304561,0.115152549849,0,0,0.109138462747
4,4004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14432033156,1.0633403603,1,1,1.20113185473
5,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175327690289,-0.0551838883581,0,0,0.0900721343599
6,4006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.80112687198,1.47419247887,1,1,1.54693748217
7,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337071869991,0.21570754269,0,0,0.292163087829
8,4008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.753215011138,0.774639961776,1,1,0.531032870987
9,4009,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0.428011618723,0.318678210305,0,0,0.313028886376
10,4010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.46470633907,1.20333540065,1,1,1.07646336834
11,4011,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.372526900313,0.387640453875,1,1,0.582596635953
12,4012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681131761016,0.0918809285651,0,0,0.0454046459033
13,4013,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.832281568668,0.84817515442,1,1,0.703157801441
14,4014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.702391043549,0.476156982618,1,1,0.654898632148
15,4015,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.818924330112,0.742684084265,1,1,0.56195018867
16,4016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08763685659,1.02206692762,1,1,0.719527630624
17,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131200500668,0.0241161018729,0,0,-0.058896323428
18,4018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.30146542334,0.993254399041,1,1,1.23305589229
19,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206436969913,-0.176458830835,0,0,-0.278631954074
20,4020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.869328051823,0.785944340801,1,1,0.758882484382
21,4021,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03647416254,1.01439502796,1,1,0.990569809931
22,4022,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.589556326349,0.675731535878,1,1,0.674378536849
23,4023,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0.501275101313,0.371019819465,0,0,0.346136409731
24,4024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181522016112,0.16870325403,0,0,0.180943490846
